City;City;Archaeologiest;Organised by;Year;Work_Report;Tablets;Notes;
;Fara ;Deimel A.;German;;;82;(82 School Tablets);
;Abu Salabikh ;Hansen Donald P.;Oriental Institute of Chicago;1963-1965;;;;
;Abu Salabikh ;Postgate Nicholas;British School of Archaeology in Iraq;1975-1990;;500;"Instructions of Shuruppak, a well-known Sumerian ""wisdom' text of which the Abu Salabikh tablet is the oldest copy.";
Tell al Hiba;Lagash ;Koldewey Robert;German;1887;;;;
;Lagash;Jacobsen Thorkild ;;1953;;;;
;Lagash;Safar Fuad ;;1953;;;;
;Lagash;Hansen Donald;Institute of Fine Arts at NYU;1968-1978;;;;
;Lagash;Crawford Vaughn;Institute of Fine Arts at NYU;1957-1981;;;;
;Lagash;Carter Elizabeth;UCLA;1984;The Al-Hiba Survey Revisited. Ancient Lagash: Current and Future Trajectories (2018);;;
;Lagash;Pittman Holly;;1990;“Lagash Archaeological Project, Dhi Qar Province, Iraq: The First Four Seasons, 1LAP-4LAP, 2019-2022.”;;;
;Lagash;Hansen Donald;;1990;;;;https://web.sas.upenn.edu/lagash/legacy-excavations/
;Lagash;Reed Goodman;;;“The Flooding of Lagash (Iraq): Evidence for Urban Destruction Under Lugalzagesi, the King of Uruk and Umma.;;;
Tello;Girsu;Ernest de Sarzec;Louvre Museum;1877;;;;
;Girsu; Gaston Cros;;1933;;;;
;Girsu;Genouillac Henri;;1933;;;;
;Girsu;Parrot Andre;;1933;;;;
;Girsu;Rey Sébastien;British Museum;2015;;;;https://www.britishmuseum.org/research/projects/girsu-project
;Girsu;Husain Fatima;British Museum;2015;;;;
;;;;;Hymn B of Shulgi (Tigi, ZamZam, Adab);;Hold Major Place until mid of 18 cen BCE in the school Curriculum ;
;;;;;Hymn E of Shulgi;;;
;;Kramer ;;;Schooldays ;;;
;;Landsberger B.;;;Exams (1mill BCE);;;
Tell Hariri;Mari;Parrot Andre;Louvre Museum;1933-1974;;25,000;;
;Mari;Margueron Jean Claude;;1979-2004;Mari: Annales de recherches interdisciplinaires (8 volumes);;;
;Mari;Butterlin Pascal;;2005;;;;
;Ur;Fraser James ;;1835;;;;
;Ur;Ross John;;1835;;;;
;Ur;Loftus William ;;1850;;;;
;Ur;Churchill H.A.;;1850;;;;
;Ur;Rawlinson Henry;;;Decipher Tablet;;;
;Ur;Taylor John ;British Museum;1853 -1858;;;;
;Ur;Hall H.R.;British Museum;1919;;;;
;Ur;Thompson R.C.;British Museum;1919;;;;
;Ur;Woolley Ch.L.;British Museum;1922-1934;;;;
;Ur;Stone Elizabeth;University of Pensylvania ;2015;;;;
;Ur;Zimansky Paul;State University of New York ;2015;;;;
;Ur;Otto Adelheid;University of Muchen, German ;2017-2019;;;;
Tell Abu Habba;Sippar ;Rassam Hormuzd;British Museum;1880-1881;;;;
;Sippar ;Scheil J.V.;Istambul Museum;1894;;;;
;Sippar ;Andrea Walter ;;1927;;;;
;Sippar ;Jordan Julius ;;1927;;;;
;Sippar ;Gasche H.;Belgian ;1972 -1973;;;;
;Sippar ;Al-Rawi F.;University of Baghdad;1978;;;;
;Sippar ;Al-Jadir W.;University of Baghdad;1978;;;;
Tell ed-Der;Sippar-Amnanum;Myere L.D.;Belgian ;1968-1988;;2500;;
;Nippur ;Layard Henry ;;1851;;;;
;Nippur ;Peters J.P.;University of Pensilvania ;1889-1900;;;;
;Nippur ;Haynes J.H.;University of Pensilvania ;1889-1900;;;;
;Nippur ;Hilprecht H.V.;University of Pensilvania ;1889-1900;;;;
;Nippur ;Gibson M.G.;University of Chicago;1948-1990;;;;
;Nippur ;Alizadeh Abbas;;2019;;;;
;Isin;Langdon S.H.;;1924;;;;
;Isin;Dougherty R.P.;;1926;;;;
;Isin;Hrouda Barthel;Munich Institute, German ;1973-1989;;;;
;Uruk ;Fraser James ;;1835;;;;
;Uruk ;Ross John;;1835;;;;
;Uruk ;Loftus William ;;1850-1854;;;;
;Uruk ;Andrea Walter ;;1902;;;;
;Uruk ;Banks E.J.;;1905;;;;
;Uruk ;Jordan Julius ;German Oriental Society;1912-1939;Ausgrabungen der Deutschen Forschungsgemeinschaft in Uruk (ADFU), 17 volumes, 1912–2001;;;
;Uruk ;Heinrich E.;;;;;;
;Uruk ;Noldeke A.;;;;;;
;Uruk ;Lenzen H.J.;German Oriental Society;1954-1967;;;;
;Uruk ;Schmidt J.;German Oriental Society;1968-1978;;;;
;Uruk ;Boehmer R.M.;German Oriental Society;1978;	Ausgrabungen in Uruk-Warka, Endberichte (AUWE), 25 volumes, 1987–2007;;;
;Uruk ;Ess M.;German Archaeological Institute;2001-2002;;;;
;Uruk ;Fassbinder J.;German Archaeological Institute;2001-2002;;;;
;Uruk ;Baker H.;German Archaeological Institute;2001-2002;;;;
;;Falkenstein Adam;German Archaeological Institute;;Decipher Tablet;;;
;;Djik J.A.;German Archaeological Institute;;Decipher Tablet;;;
;;Hunger Hermann;German Archaeological Institute;;Decipher Tablet;;;
;;Covigneaux Antoine ;German Archaeological Institute;;Decipher Tablet;;;
;;Weiher Egbert;German Archaeological Institute;;Decipher Tablet;;;
;;Kessler Karlheinz ;German Archaeological Institute;;Decipher Tablet;;;
;;Gehlken Erlend ;German Archaeological Institute;;Decipher Tablet;;;
;Ugarit ;Albanese Leon;;1928;;;;
;Ugarit ;Schaeffer Claude ;Mission de Ras Shakira ;1929-1970;;;;
;Ugarit ;Contenson Henri;Mission de Ras Shakira ;1970-1975;;;;
;Ugarit ;Margueron Jean Claude;Mission de Ras Shakira ;1975-1976;;;;
;Ugarit ;Yon Marguerite;Mission de Ras Shakira ;1978-1998;;;;
;Ugarit ;Matoian V.;Mission de Ras Shakira ;2005-2011;;;;
;Ugarit ;Al-Bahloul Khozama;;2005-2011;;;;
