source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Adams1969_BedouinOnN;;No;True;;;oi.uchicago.edu;Adams R.M.;;No;22-26;Bedouin On Nippur Mound Reconnaissance And Soundings;;;;;Archaeological Report;1969;;;
Al-Rawi1990_TabletsFro;;No;True;;;;Al-Rawi A.R.G.A.;;No;pp. 149-157;Tablets From The Sippar Library: Ii. Tablet Ii Of The Babylonian Creation Epic;British Institute for the Study of Iraq;;Iraq, 1990, Vol. 52 (1990),;;Article in Book;1990;;;
Attinger2018_E2DubBaAEt;;No;True;;;;Attinger P.;;No;72-75;E2 Dub Ba A Et Ge Dub Ba1);;;;;Tablet Translation:N.A.B.U 2018/2 (juin);2018;;;
Beckman1983_Mesopotami;;No;True;;;;Beckman G.;;No;pp. 97-114 (Vol35);Mesopotamians And Mesopotamian Learning At Ḫattuša;The University of Chicago Press on behalf of The American Schools of;;Journal of Cuneiform Studies;;Article in Book;1983;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Beckman1983_Mesopotami.txt
Beyer2021_TeachingIn;;No;True;;;https://doi.org/10.1515/9783110741124-002;Beyer W.;;No;16-31;Teaching In Old Babylonian Nippur, Learning In Old Assyrian Aššur?;;;published by De Gruyter;;Article in Book;2021;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Beyer2021_TeachingIn.txt
Brigitte2009_LesFemmesS;;No;True;;;https://www.persee.fr/doc/topoi_1764-0733_2009_act_10_1_2669;Brigitte L.;;No;289-303;Les Femmes Scribes De Sippar;;;;;Article;2009;;;
Budin2021_NearEaster;;No;True;;;www.asor.org;Budin S.;;No;VOLUME 84 • ISSUE;Near Eastern Archaeology;;;;;Article;2021;;;
Cammarosano2014_TheCuneifo;;No;True;;;;Cammarosano M.;;No;53-91;The Cuneiform Stylus;;;«Mesopotamia» is an International Peer Reviewed Journal;;Article in Book;2014;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Cammarosano2014_TheCuneifo.txt
Cecile2009_LesFemmesE;;No;True;;;https://www.persee.fr/doc/topoi_1764-0733_2009_act_10_1_2667;Cécile M.;;No;253-272;Les Femmes Et L’écrit Dans Les Archives Paléo Assyriennes;;;;;Article;2009;;;
Charpin2010_WritingLaw;;;False;;;;Charpin D.;;;;Writing, Law, and Kingship: Essays on Old Babylonian Mesopotamia;;Chicago;;;Null;2010;10.7208/chicago/9780226101590.001.0001;;
Charpin2014_TheHistori;;No;True;;;;Charpin D.;;No;24-64;The Historian And The Old Babylonian Archives;;;DOCUMENTARY SOURCES IN ANCIENT NEAR EASTERN ANDGRECO-ROMAN ECONOMIC HISTORY Methodology and Practice;;Article in Book;2014;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Charpin2014_TheHistori.txt
Charpin2019_PriestsOfU;;No;True;;;https://college-de-france.hal.science/hal-03022888;Charpin D.;;No;18-34;Priests Of Ur In The Old Babylonian Period: A Reappraisal In Light Of The 2017 Discoveries At Ur/tell Muqayyar;;;Journal of Ancient Near Eastern Religions, 2019;;Article in Book;2019;;;
Clemens2002_ReviewedWo;;No;True;;;;Clemens D.M.;;No;pp. 221-223;Reviewed Work(s): Handbook Of Ugaritic Studies By W. G. E. Watson And N. Wyatt;;;Journal of Near Eastern Studies, Vol. 61, No. 3 (Jul., 2002);;Article in Book;2002;;;
Delnero2010_SumerianEx;;No;True;;;;Delnero P.;;No;pp. 53-69;Sumerian Extract Tablets And Scribal Education;The University of Chicago Press on behalf of The American Schools of;;Journal of Cuneiform Studies, 2010, Vol. 62 (2010);;Article in Book;2010;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Delnero2010_SumerianEx.txt
