source_id;author;title;year;source_type;source_book;publication_place;publisher;pages;language;discipline;urn_cts;is_primary_text;has_translation;digital_source;notes;doi;pdf_path;has_pdf;txt_path;anchor_external
Adams1969_BedouinOnN;Adams R.M.;Bedouin On Nippur Mound Reconnaissance And Soundings;1969;Archaeological Report;;;;22-26;;;;No;No;oi.uchicago.edu;;;;True;;
Al-Rawi1990_TabletsFro;Al-Rawi A.R.G.A.;Tablets From The Sippar Library: Ii. Tablet Ii Of The Babylonian Creation Epic;1990;Article in Book;Iraq, 1990, Vol. 52 (1990),;;British Institute for the Study of Iraq;pp. 149-157;;;;No;No;;;;;True;;
Attinger2018_E2DubBaAEt;Attinger P.;E2 Dub Ba A Et Ge Dub Ba1);2018;Tablet Translation:N.A.B.U 2018/2 (juin);;;;72-75;;;;No;No;;;;;True;;
Beckman1983_Mesopotami;Beckman G.;Mesopotamians And Mesopotamian Learning At Ḫattuša;1983;Article in Book;Journal of Cuneiform Studies;;The University of Chicago Press on behalf of The American Schools of;pp. 97-114 (Vol35);;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Beckman1983_Mesopotami.txt;
Beyer2021_TeachingIn;Beyer W.;Teaching In Old Babylonian Nippur, Learning In Old Assyrian Aššur?;2021;Article in Book;published by De Gruyter;;;16-31;;;;No;No;https://doi.org/10.1515/9783110741124-002;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Beyer2021_TeachingIn.txt;
Brigitte2009_LesFemmesS;Brigitte L.;Les Femmes Scribes De Sippar;2009;Article;;;;289-303;;;;No;No;https://www.persee.fr/doc/topoi_1764-0733_2009_act_10_1_2669;;;;True;;
Budin2021_NearEaster;Budin S.;Near Eastern Archaeology;2021;Article;;;;VOLUME 84 • ISSUE;;;;No;No;www.asor.org;;;;True;;
Cammarosano2014_TheCuneifo;Cammarosano M.;The Cuneiform Stylus;2014;Article in Book;«Mesopotamia» is an International Peer Reviewed Journal;;;53-91;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Cammarosano2014_TheCuneifo.txt;
Cecile2009_LesFemmesE;Cécile M.;Les Femmes Et L’écrit Dans Les Archives Paléo Assyriennes;2009;Article;;;;253-272;;;;No;No;https://www.persee.fr/doc/topoi_1764-0733_2009_act_10_1_2667;;;;True;;
Charpin2010_WritingLaw;Charpin D.;Writing, Law, and Kingship: Essays on Old Babylonian Mesopotamia;2010;Null;;Chicago;;;;;;;;;;10.7208/chicago/9780226101590.001.0001;;False;;
Charpin2014_TheHistori;Charpin D.;The Historian And The Old Babylonian Archives;2014;Article in Book;DOCUMENTARY SOURCES IN ANCIENT NEAR EASTERN ANDGRECO-ROMAN ECONOMIC HISTORY Methodology and Practice;;;24-64;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Charpin2014_TheHistori.txt;
Charpin2019_PriestsOfU;Charpin D.;Priests Of Ur In The Old Babylonian Period: A Reappraisal In Light Of The 2017 Discoveries At Ur/tell Muqayyar;2019;Article in Book;Journal of Ancient Near Eastern Religions, 2019;;;18-34;;;;No;No;https://college-de-france.hal.science/hal-03022888;;;;True;;
Clemens2002_ReviewedWo;Clemens D.M.;Reviewed Work(s): Handbook Of Ugaritic Studies By W. G. E. Watson And N. Wyatt;2002;Article in Book;Journal of Near Eastern Studies, Vol. 61, No. 3 (Jul., 2002);;;pp. 221-223;;;;No;No;;;;;True;;
Delnero2010_SumerianEx;Delnero P.;Sumerian Extract Tablets And Scribal Education;2010;Article in Book;Journal of Cuneiform Studies, 2010, Vol. 62 (2010);;The University of Chicago Press on behalf of The American Schools of;pp. 53-69;;;;No;No;;;;;True;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Delnero2010_SumerianEx.txt;
Falkowitz1984_RoundOldBa;Falkowitz R.S.;Round Old Babylonian School Tablets From Nippur;1984;Article in Book;Archiv für Orientforschung, 1983/1984, 29./30. Bd. (1983/1984);;;pp. 18-45;;;;No;No;;;;;True;;
