source_id;author;title;year;anchor_external;publication_place;publisher;pages;language;discipline;urn_cts;is_primary_text;has_translation;digital_source;notes;doi;pdf_path;has_pdf
Civil1980_Leslimites;Civil;Les limites de l’information textuelle’;1980;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Civil1985_Surleslivr;Civil;Sur les “livres d’écolier” à l’époque paléo-babylonienne’;1985;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Cohen2011_TeacherStu;Cohen;Teacher-Student Relationships: Two Case Studies’;2011;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Davis2007_ThePractic;Davis;The Practice of Handwriting Identification’;2007;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Donbaz1985_MoreOldAss;Donbaz;More Old Assyrian Tablets from Assur’;1985;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Hecker1993_Schultexte;Hecker;Schultexte vom Kültepe’;1993;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Huber1999_Handwritin;Huber;Handwriting Identification: Facts and Fundamentals;1999;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Koppenhaver2007_ForensicDo;Koppenhaver;Forensic Document Examination;2007;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Larsen1976_TheOldAssy;Larsen;The Old Assyrian City-State and Its Colonies;1976;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Michel1998_Lesmarchan;Michel;Les marchands et les nombres: l’exemple des Assyriens à Kaniš’;1998;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Michel2008_Ecrireetco;Michel;Écrire et compter chez les marchands assyriens du début du IIe millénaire av. J.-C.’;2008;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Michel2020_Makingclay;Michel;Making clay envelopes in the Old Assyrian period’;2020;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Michel0_WeighingUn;Michel;Weighing Units and Weights in the Context of Trade from Upper Mesopotamia to Anatolia (Nineteenth and Eighteenth Centuries BCE)’;0000;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Proust2007_Tablettesm;Proust;Tablettes mathématiques de Nippur;2007;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Robson2001_TheTabletH;Robson;The Tablet House: A Scribal School in Old Babylonian Nippur’;2001;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Sjoberg1976_TheOldBaby;Sjöberg;The Old Babylonian Eduba’;1976;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Stone1987_NippurNeig;Stone;Nippur Neighborhoods (Studies in Ancient Oriental Civilization, 44;1987;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Tinney1998_TextsTable;Tinney;Texts, Tablets, and Teaching;1998;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Tinney1999_OntheCurri;Tinney;On the Curricular Settings of Sumerian Literature’;1999;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Vanstiphout1997_SumerianCa;Vanstiphout;Sumerian Canonical Compositions. C. Individual Focus. 6. School Dialogues’;1997;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Veenhof2017_KultepeTab;Veenhof;Kültepe Tabletleri VIII. The Archive of Elamma, son of Iddin-Suen, and his Family (Kt;2017;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Veldhuis1997_Elementary;Veldhuis;Elementary Education at Nippur;1997;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Veldhuis2004_ReligionLi;Veldhuis;Religion, Literature, and Scholarship: The Sumerian Composition “Nanše and the Birds”;2004;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Volk2000_Edubbaaund;Volk;Edubba’a und Edubba’a-Literatur: Rätsel und Lösungen’;2000;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Waetzold2009_Schule;Waetzold;Schule’;2009;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Albenda1986_ThePalaceo;Albenda;The Palace of Sargon, King of Assyria: Monumental Wall Reliefs at Dur-Sharrukin;1986;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Alster1997_Proverbsof;Alster;Proverbs of Ancient Sumer: The World’s Earliest Proverb Collections;1997;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Barnett1939_ACylinderS;Barnett;A Cylinder Seal from Syria;1939;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Barnett1998_Sculptures;Barnett;Sculptures from the Southwest Palace of Sennacherib at Nineveh;1998;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Bittel1973_Anatolica;Bittel;Anatolica;1973;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Bleibtreu1980_DieFlorade;Bleibtreu;Die Flora der neuassyrischen Reliefs;1980;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Boehmer1972_DieKleinfu;Boehmer;Die Kleinfunde von Boğazköy aus den Grabungskampagnen 1931–1939 und 1952–1969;1972;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Boehmer1979_DieKleinfu;Boehmer;Die Kleinfunde aus der Unterstadt von Boğazköy: Grabungskampagnen 1970–1978;1979;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Borker-Klahn1982_Altvordera;Börker-Klähn;Altvorderasiatische Bildstelen und vergleichbare Felsreliefs;1982;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Buchanan1966_Catalogueo;Buchanan;Catalogue of Ancient Near Eastern Seals in the Ashmolean Museum I: Cylinder Seals;1966;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Buccellati2000_TheRoyalPa;Buccellati;The Royal Palace of Urkesh. Report on the 12th Season at Tell Mozan / Urkesh: Excavation in Area AA, June–October 1999;2000;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Cammarosano2013_HittiteCul;Cammarosano;Hittite Cult Inventories – Part One: The Hittite Cult Inventories as Textual Genre;2013;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Clay1906_Documentsf;Clay;Documents from the Temple Archives of Nippur Dated in the Reigns of Cassite Rulers;1906;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Clevering1999_TaxonomyCh;Clevering;Taxonomy, Chromosome Numbers, Clonal Diversity and Population Dynamics of Phragmites australis;1999;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Collon2001_Catalogueo;Collon;Catalogue of the Western Asiatic Seals in the British Museum;2001;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Deimel1922_DieBedeutu;Deimel;Die Bedeutung der Keilschrift-Paläographie für die Chronologie der ältesten babylonischen Geschichte;1922;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Delaporte1909_Lescylindr;Delaporte;Les cylindres orientaux du musée historique de l’Orléanais;1909;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Dogan2010_TheKirsehi;Doğan;The Kırşehir Letter: A New Hieroglyphic Luwian Text on a Lead Strip;2010;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Unknown2013_HititlerBi;Unknown;Hititler: Bir Anadolu İmparatorluğu / Hittites: An Anatolian Empire;2013;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Driver1976_SemiticWri;Driver;Semitic Writing from Pictograph to Alphabet;1976;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Ellison2002_APaleograp;Ellison;A Paleographic Study of the Alphabetic Cuneiform Texts from Ras Shamra/Ugarit;2002;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Falkenstein1936_Archaische;Falkenstein;Archaische Texte aus Uruk;1936;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Farber-Flugge1973_DerMythosI;Farber-Flügge;Der Mythos “Inanna und Enki” unter besonderer Berücksichtigung der Liste der me;1973;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Fisseler2014_TowardsanI;Fisseler;Towards an Interactive and Automated Script Feature Analysis of 3D Scanned Cuneiform Tablets;2014;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Franke2011_Personlich;Franke;Persönliche Frömmigkeit im Alten Orient am Beispiel des Kultsockels des Tukulti-Ninurta von Assyrien;2011;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Gasche1989_LaBabyloni;Gasche;La Babylonie au 17e siècle avant notre ère;1989;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
George2006_Babylonian;George;Babylonian Texts from the Folios of Sidney B. Smith, Part Three;2006;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Gumbert2002_ThePenandI;Gumbert;The Pen and Its Movement;2002;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Hardion2012_RevisedSys;Hardion;Revised Systematics of Mediterranean Arundo (Poaceae;2012;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Hepper1992_Notesonthe;Hepper;Notes on the Reeds of Mesopotamia;1992;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Herles2006_ZurDarstel;Herles;Zur Darstellung auf dem Symbolsockel Tukulti-Ninurtas I: Griffel oder Zepter?;2006;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Hoffner2009_Lettersfro;Hoffner;Letters from the Hittite Kingdom;2009;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Howard1955_TechnicalD;Howard;Technical Description of the Ivory Writing-Boards from Nimrud;1955;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Unknown1991_DeralteOri;Unknown;Der alte Orient;1991;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Jendritzki1997_ZurRestaur;Jendritzki;Zur Restaurierung und Technologie des Bronzekreuzes VA 5379;1997;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Jendritzki2003_FurForschu;Jendritzki;Für Forschung und Besucher gerettet;2003;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Keel1990_Laglyptiqu;Keel;La glyptique de Tell Keisan;1990;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Klengel-Brandt1975_EineSchrei;Klengel-Brandt;Eine Schreibtafel aus Assur;1975;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Kosay1966_AlacaHoyuk;Koşay;Alaca Höyük Kazısı 1940–1948: İlk Rapor;1966;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Langdon1924_Excavation;Langdon;Excavations at Kish I;1924;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Landsberger1967_TheDatePal;Landsberger;The Date Palm and Its By-products According to the Cuneiform Sources;1967;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Levine1973_TwoNeoAssy;Levine;Two Neo-Assyrian Stelae from Iran;1973;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Livingstone2007_Ashurbanip;Livingstone;Ashurbanipal: Literate or Not?;2007;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Loud1938_KhorsabadP;Loud;Khorsabad, Part 2;1938;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Madhloom1970_TheChronol;Madhloom;The Chronology of Neo-Assyrian Art;1970;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Mallowan1954_TheExcavat;Mallowan;The Excavations at Nimrud (Kalḫu;1954;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Marazzi1994_Maglihitti;Marazzi;Ma gli hittiti scrivevano veramente su legno?;1994;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Marzahn2003_DieKeilsch;Marzahn;Die Keilschrift;2003;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Meier1939_Einakkadis;Meier;Ein akkadisches Heilungsritual aus Boğazköy;1939;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Meijer2004_AScribalQu;Meijer;A Scribal Quarter?;2004;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Messerschmidt1906_ZurTechnik;Messerschmidt;Zur Technik des Tontafelschreibens;1906;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Novotny2008_AftertheFa;Novotny;After the Fall of Babylon;2008;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Oates1968_TheExcavat;Oates;The Excavations at Tell al Rimah, 1967;1968;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Ochsenschlager1992_Ethnograph;Ochsenschlager;Ethnographic Evidence for Wood, Boats, Bitumen and Reeds in Southern Iraq;1992;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Opitz1930_Studienzur;Opitz;Studien zur altorientalischen Kunst;1930;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Parkes2008_TheirHands;Parkes;Their Hands Before Our Eyes;2008;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Payne2005_Uberlegung;Payne;Überlegungen zur Hieroglyphenschrift der Assur-Briefe;2005;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Pecorella1980_Diecisigil;Pecorella;Dieci sigilli cilindrici del Vicino Oriente;1980;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Perdue1958_Arundodona;Perdue;Arundo donax – Source of Musical Reeds and Industrial Cellulose;1958;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Pilu2012_GiantReedA;Pilu;Giant Reed (Arundo donax L;2012;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Postgate1980_PalmtreesR;Postgate;Palm-trees, Reeds and Rushes in Iraq Ancient and Modern;1980;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Postgate1986_MiddleAssy;Postgate;Middle Assyrian Tablets;1986;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Postgate1987_BM118796;Postgate;BM 118796;1987;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Powell1981_ThreeProbl;Powell;Three Problems in the History of Cuneiform Writing;1981;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Powell2007_Assurbanip;Powell;Assurbanipals Griffel;2007;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Reade1986_Archaeolog;Reade;Archaeology and the Kuyunjik Archives;1986;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Reade2012_VisualEvid;Reade;Visual Evidence for the Status and Activities of Assyrian Scribes;2012;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Ryu1991_Functional;Ryu;Functional Ranges of Motion of the Wrist Joint;1991;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Saggs1981_TheReedSty;Saggs;The Reed Stylus;1981;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Salim1962_MarshDwell;Salim;Marsh Dwellers of the Euphrates Delta;1962;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Sallaberger1989_ZumSchilfr;Sallaberger;Zum Schilfrohr als Rohstoff in Babylonien;1989;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Nicolo1948_HabendieBa;Nicolò;Haben die Babylonier Wachstafeln als Schriftträger gekannt?;1948;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Schachner2013_DieArbeite;Schachner;Die Arbeiten in Boğazköy-Ḫattuša 2012;2013;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Schaeffer1951_Reprisedes;Schaeffer;Reprise des recherches archéologiques à Ras Shamra-Ugarit;1951;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Unknown1955_LePalaisro;Unknown;Le Palais royal d’Ugarit III;1955;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Schwemer1998_Akkadische;Schwemer;Akkadische Rituale aus Ḫattuša;1998;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Seidl1989_Diebabylon;Seidl;Die babylonischen Kudurru-Reliefs;1989;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Sirat1987_Lamorpholo;Sirat;La morphologie humaine et la direction des écritures;1987;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Stol1998_Einigekurz;Stol;Einige kurze Wortstudien;1998;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Streck2009_Schilf;Streck;Schilf;2009;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Symington1991_LateBronze;Symington;Late Bronze Age Writing-Boards;1991;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Taylor2011_TabletsasA;Taylor;Tablets as Artefacts, Scribes as Artisans;2011;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Torri2012_HidingWord;Torri;Hiding Words behind the Signs;2012;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Townsend1968_FloraofIra;Townsend;Flora of Iraq 9: Gramineae;1968;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Unger1916_Reliefstel;Unger;Reliefstele Adadniraris III;1916;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Unger1917_DieStelede;Unger;Die Stele des Bel-Harran-Beli-Ussur;1917;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Soldt1991_Studiesint;Soldt;Studies in the Akkadian of Ugarit;1991;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Volk2009_Schreibgri;Volk;Schreibgriffel;2009;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Osten1937_TheAlishar;Osten;The Alishar Hüyük;1937;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Waal2011_TheyWroteo;Waal;They Wrote on Wood;2011;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Waetzoldt1992_Rohrunddes;Waetzoldt;‘Rohr’ und dessen Verwendungsweisen;1992;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Weeden2011_HittiteLog;Weeden;Hittite Logograms and Hittite Scholarship;2011;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Westphal-Hellbusch1962_DieMadan;Westphal-Hellbusch;Die Maʿdan;1962;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Wiseman1955_AssyrianWr;Wiseman;Assyrian Writing-Boards;1955;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Yon2006_TheCityofU;Yon;The City of Ugarit at Tell Ras Shamra;2006;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Yoshikawa1990_ANoteonSty;Yoshikawa;A Note on Stylus;1990;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Al-Rawi2000_OldBabylon;Al-Rawi;Old Babylonian Texts from Private Houses at Abu Habbah, Ancient Sippar;2000;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Battini2003_Constructi;Battini;Construction royale, construction privée: la maison B 59 de Larsa;2003;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Bardet1984_Archivesad;Bardet;Archives administratives de Mari I;1984;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1953_Troistexte;Birot;Trois textes économiques de Mari (I;1953;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1955_Troistexte;Birot;Trois textes économiques de Mari (II;1955;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1956_Textesecon;Birot;Textes économiques de Mari (IV;1956;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1960_Textesadmi;Birot;Textes administratifs de la salle 5 du palais;1960;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1964_Textesadmi;Birot;Textes administratifs de la salle 5 du palais (2e partie;1964;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1969_Tablettese;Birot;Tablettes économiques et administratives d’époque paléo-babylonienne conservées au Musée d’art et d’histoire de Genève;1969;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1972_Simahlaner;Birot;Simaḫlânê, roi de Kurda;1972;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Birot1978_Donneesnou;Birot;Données nouvelles sur la chronologie du règne de Zimri-Lim;1978;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Bottero1957_Textesecon;Bottéro;Textes économiques et administratifs;1957;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Unknown2003_AncientArc;Unknown;Ancient Archives and Archival Traditions;2003;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Burke1963_Textesadmi;Burke;Textes administratifs de la salle 111 du palais;1963;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Chambon2008_Unnouveaur;Chambon;Un nouveau récapitulatif sur la gestion de l’huile à Mari;2008;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1979_ReviewofYO;Charpin;Review of YOS 14;1979;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1981_ReviewofYO;Charpin;Review of YOS 12;1981;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1982_Marchandsd;Charpin;Marchands du palais et marchands du temple;1982;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1984_Nouveauxdo;Charpin;Nouveaux documents du bureau de l’huile;1984;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1986_Transmissi;Charpin;Transmission des titres de propriété;1986;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1987_Nouveauxdo;Charpin;Nouveaux documents du bureau de l’huile (suite;1987;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1989_Unquartier;Charpin;Un quartier de Nippur;1989;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1990_Unquartier;Charpin;Un quartier de Nippur;1990;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1993_ReviewofAU;Charpin;Review of AUCT 4;1993;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1994_Unecampagn;Charpin;Une campagne de Yahdun-Lîm;1994;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
Charpin1995_Lafindesar;Charpin;La fin des archives dans le palais de Mari;1995;external;;;;;;;No;No;;auto-extracted from references;;;FALSE
