citing;cited;matched
Beyer2021_TeachingIn;Civil1980_Leslimites;False
Beyer2021_TeachingIn;Civil1985_Surleslivr;False
Beyer2021_TeachingIn;George0000_InSearchOf;True
Beyer2021_TeachingIn;Cohen2011_TeacherStu;False
Beyer2021_TeachingIn;Davis2007_ThePractic;False
Beyer2021_TeachingIn;Donbaz1985_MoreOldAss;False
Beyer2021_TeachingIn;George0000_InSearchOf;True
Beyer2021_TeachingIn;Hecker1993_Schultexte;False
Beyer2021_TeachingIn;Huber1999_Handwritin;False
Beyer2021_TeachingIn;Koppenhaver2007_ForensicDo;False
Beyer2021_TeachingIn;Kramer1949_Schooldays;True
Beyer2021_TeachingIn;Larsen1976_TheOldAssy;False
Beyer2021_TeachingIn;Michel1998_Lesmarchan;False
Beyer2021_TeachingIn;Michel2008_Ecrireetco;False
Beyer2021_TeachingIn;Michel2020_Makingclay;False
Beyer2021_TeachingIn;Michel0_WeighingUn;False
Beyer2021_TeachingIn;Proust2007_Tablettesm;False
Beyer2021_TeachingIn;Robson2001_TheTabletH;False
Beyer2021_TeachingIn;Sjoberg1976_TheOldBaby;False
Beyer2021_TeachingIn;Stone1987_NippurNeig;False
Beyer2021_TeachingIn;Tinney1998_TextsTable;False
Beyer2021_TeachingIn;Tinney1999_OntheCurri;False
Beyer2021_TeachingIn;Vanstiphout1997_SumerianCa;False
Beyer2021_TeachingIn;Veenhof2017_KultepeTab;False
Beyer2021_TeachingIn;Veldhuis1997_Elementary;False
Beyer2021_TeachingIn;Veldhuis2004_ReligionLi;False
Beyer2021_TeachingIn;Volk2000_Edubbaaund;False
Beyer2021_TeachingIn;Waetzold2009_Schule;False
Cammarosano2014_TheCuneifo;Albenda1986_ThePalaceo;False
Cammarosano2014_TheCuneifo;Alster1997_Proverbsof;False
Cammarosano2014_TheCuneifo;Barnett1939_ACylinderS;False
Cammarosano2014_TheCuneifo;Barnett1998_Sculptures;False
Cammarosano2014_TheCuneifo;Bittel1973_Anatolica;False
Cammarosano2014_TheCuneifo;Bleibtreu1980_DieFlorade;False
Cammarosano2014_TheCuneifo;Boehmer1972_DieKleinfu;False
Cammarosano2014_TheCuneifo;Boehmer1979_DieKleinfu;False
Cammarosano2014_TheCuneifo;Borker-Klahn1982_Altvordera;False
Cammarosano2014_TheCuneifo;Buchanan1966_Catalogueo;False
Cammarosano2014_TheCuneifo;Buccellati2000_TheRoyalPa;False
Cammarosano2014_TheCuneifo;Cammarosano2013_HittiteCul;False
Cammarosano2014_TheCuneifo;Clay1906_Documentsf;False
Cammarosano2014_TheCuneifo;Clevering1999_TaxonomyCh;False
Cammarosano2014_TheCuneifo;Collon2001_Catalogueo;False
Cammarosano2014_TheCuneifo;Deimel1922_DieBedeutu;False
Cammarosano2014_TheCuneifo;Delaporte1909_Lescylindr;False
Cammarosano2014_TheCuneifo;Dogan2010_TheKirsehi;False
Cammarosano2014_TheCuneifo;Unknown2013_HititlerBi;False
Cammarosano2014_TheCuneifo;Driver1976_SemiticWri;False
Cammarosano2014_TheCuneifo;Ellison2002_APaleograp;False
Cammarosano2014_TheCuneifo;Falkenstein1936_Archaische;False
Cammarosano2014_TheCuneifo;Farber-Flugge1973_DerMythosI;False
Cammarosano2014_TheCuneifo;Fisseler2014_TowardsanI;False
Cammarosano2014_TheCuneifo;Franke2011_Personlich;False
Cammarosano2014_TheCuneifo;Gasche1989_LaBabyloni;False
Cammarosano2014_TheCuneifo;George2006_Babylonian;False
Cammarosano2014_TheCuneifo;Gumbert2002_ThePenandI;False
Cammarosano2014_TheCuneifo;Hardion2012_RevisedSys;False
Cammarosano2014_TheCuneifo;Hepper1992_Notesonthe;False
Cammarosano2014_TheCuneifo;Herles2006_ZurDarstel;False
Cammarosano2014_TheCuneifo;Hoffner2009_Lettersfro;False
Cammarosano2014_TheCuneifo;Howard1955_TechnicalD;False
Cammarosano2014_TheCuneifo;Unknown1991_DeralteOri;False
Cammarosano2014_TheCuneifo;Jendritzki1997_ZurRestaur;False
Cammarosano2014_TheCuneifo;Jendritzki2003_FurForschu;False
Cammarosano2014_TheCuneifo;Keel1990_Laglyptiqu;False
Cammarosano2014_TheCuneifo;Klengel-Brandt1975_EineSchrei;False
Cammarosano2014_TheCuneifo;Kosay1966_AlacaHoyuk;False
Cammarosano2014_TheCuneifo;Langdon1924_Excavation;False
Cammarosano2014_TheCuneifo;Landsberger1967_TheDatePal;False
Cammarosano2014_TheCuneifo;Levine1973_TwoNeoAssy;False
Cammarosano2014_TheCuneifo;Livingstone2007_Ashurbanip;False
Cammarosano2014_TheCuneifo;Loud1938_KhorsabadP;False
Cammarosano2014_TheCuneifo;Macginnis2002_TheUseOfWr;True
Cammarosano2014_TheCuneifo;Madhloom1970_TheChronol;False
Cammarosano2014_TheCuneifo;Mallowan1954_TheExcavat;False
Cammarosano2014_TheCuneifo;Marazzi1994_Maglihitti;False
Cammarosano2014_TheCuneifo;Marzahn2003_DieKeilsch;False
Cammarosano2014_TheCuneifo;Meier1939_Einakkadis;False
Cammarosano2014_TheCuneifo;Meijer2004_AScribalQu;False
Cammarosano2014_TheCuneifo;Messerschmidt1906_ZurTechnik;False
Cammarosano2014_TheCuneifo;George0000_InSearchOf;True
Cammarosano2014_TheCuneifo;Novotny2008_AftertheFa;False
Cammarosano2014_TheCuneifo;Oates1968_TheExcavat;False
Cammarosano2014_TheCuneifo;Ochsenschlager1992_Ethnograph;False
Cammarosano2014_TheCuneifo;Opitz1930_Studienzur;False
Cammarosano2014_TheCuneifo;Parkes2008_TheirHands;False
Cammarosano2014_TheCuneifo;Payne2005_Uberlegung;False
Cammarosano2014_TheCuneifo;Pecorella1980_Diecisigil;False
Cammarosano2014_TheCuneifo;Perdue1958_Arundodona;False
Cammarosano2014_TheCuneifo;Pilu2012_GiantReedA;False
