source_id,author,title,year,publication_place,publisher,digital_source,doi
Adams1969_BedouinOnN,Adams R.M.,Bedouin On Nippur Mound Reconnaissance And Soundings,1969,,,,
Al-Rawi1990_TabletsFro,Al-Rawi A.R.G.A.,Tablets From The Sippar Library: Ii. Tablet Ii Of The Babylonian Creation Epic,1990,,JSTOR,https://doi.org/10.2307/4200325,10.2307/4200325
Attinger2018_E2DubBaAEt,Attinger P.,E2 Dub Ba A Et Ge Dub Ba1),2018,,Walter de Gruyter GmbH,https://doi.org/10.1515/za-2018-0010,10.1515/za-2018-0010
Beckman1983_Mesopotami,Beckman G.,Mesopotamians And Mesopotamian Learning At Ḫattuša,1983,,University of Chicago Press,https://doi.org/10.2307/3515944,10.2307/3515944
Beyer2021_TeachingIn,Beyer W.,"Teaching In Old Babylonian Nippur, Learning In Old Assyrian Aššur?",2021,,De Gruyter,https://doi.org/10.1515/9783110741124-003,10.1515/9783110741124-003
Brigitte2009_LesFemmesS,Brigitte L.,Les Femmes Scribes De Sippar,2009,,CAIRN,https://doi.org/10.3917/re.056.0072,10.3917/re.056.0072
Budin2021_NearEaster,Budin S.,Near Eastern Archaeology,2021,,American Oriental Society,https://doi.org/10.7817/jameroriesoci.137.1.0174,10.7817/jameroriesoci.137.1.0174
Cammarosano2014_TheCuneifo,Cammarosano M.,The Cuneiform Stylus,2014,,,https://openalex.org/W2102131270,https://doi.org/10.1109/im.2003.1240266
Cecile2009_LesFemmesE,Cécile M.,Les Femmes Et L’écrit Dans Les Archives Paléo Assyriennes,2009,,John Benjamins Publishing Company,https://doi.org/10.1075/rein.21.07lec,10.1075/rein.21.07lec
Charpin2010_WritingLaw,Charpin D.,"Writing, Law, and Kingship: Essays on Old Babylonian Mesopotamia",2010,,University of Chicago Press,https://doi.org/10.7208/chicago/9780226101590.001.0001,10.7208/chicago/9780226101590.001.0001
Charpin2014_TheHistori,Charpin D.,The Historian And The Old Babylonian Archives,2014,,Oxbow Books,https://doi.org/10.2307/j.ctvh1dn9m.7,10.2307/j.ctvh1dn9m.7
Charpin2019_PriestsOfU,Charpin D.,Priests Of Ur In The Old Babylonian Period: A Reappraisal In Light Of The 2017 Discoveries At Ur/tell Muqayyar,2019,,Walter de Gruyter GmbH,https://doi.org/10.1163/15692124-12341302,10.1163/15692124-12341302
Clemens2002_ReviewedWo,Clemens D.M.,Reviewed Work(s): Handbook Of Ugaritic Studies By W. G. E. Watson And N. Wyatt,2002,,University of Chicago Press,https://doi.org/10.1086/469032,10.1086/469032
Delnero2010_SumerianEx,Delnero P.,Sumerian Extract Tablets And Scribal Education,2010,,University of Chicago Press,https://doi.org/10.1086/jcs41103871,10.1086/jcs41103871
Falkowitz1984_RoundOldBa,Falkowitz R.S.,Round Old Babylonian School Tablets From Nippur,1984,,,https://openalex.org/W4393275620,https://doi.org/10.62614/7ynzsx15
Fincke2004_TheBabylon,Fincke J.C.,"The Babylonian Texts Of Nineveh: Report On The British Museum's ""ashurbanipal",2004,,JSTOR,https://doi.org/10.2307/4200559,10.2307/4200559
Fincke2012_TheSchoolC,Fincke J.C.,"The School Curricula From Hattuša, Emar And Ugarit: A Comparison",2012,,Springer Science and Business Media LLC,https://doi.org/10.1140/epjc/s10052-012-1965-6,10.1140/epjc/s10052-012-1965-6
Foster2003_LateBabylo,Foster B.,Late Babylonian Schooldays: An Archaizing Cylinder,2003,,JSTOR,https://doi.org/10.2307/3217859,10.2307/3217859
Foster2005_Transmissi,Foster B.R.,Transmission Of Knowledge,2005,,Wiley,https://doi.org/10.1002/9780470997086.ch18,10.1002/9780470997086.ch18
Frame2005_TheRoyalLi,Frame A.G.A.G.,The Royal Libraries Of Nineveh: New Evidence For King Ashurbanipal's Tablet Collecting,2005,,Cambridge University Press (CUP),https://doi.org/10.1017/s0021088900001388,10.1017/s0021088900001388
Gadd1956_TeachersAn,Gadd C.,Teachers And Students In The Oldest Schools,1956,,,https://openalex.org/W568080924,
Gadotti2017_TheRulesOf,Gadotti A.,The Rules Of The School,2017,,,https://openalex.org/W2030180477,https://doi.org/10.1111/j.1467-8624.1996.tb01788.x
Garcia0000_Transmissi,García J.Á.,Transmission And Reception Of Babylonian Knowledge In Ugaritnown. A Preliminary Study,Unknown,,,,
George0000_InSearchOf,George A.R.,In Search Of The É.dub.ba.a: The Ancient Mesopotamian School,Unknown,,,https://openalex.org/W1581366874,
